block href,block,mt-3,mt-3 2,bg-transparent,bg-transparent 2,bg-transparent 3,bg-transparent 4,bg-transparent 5,bg-transparent 6
https://www.myscheme.gov.in/schemes/tnsfdcis,The NSFDC Internship Scheme,Ministry Of Social Justice and Empowerment,"""The NSFDC Internship Scheme 2024"" is implemented by the National Scheduled Castes Finance & Development Corporation, Ministry of Social Justice & Empowerment, Govt. of India. The internship will expose students to various programs & schemes undertaken by NSFDC, offering them hands-on experience in",Internship,Opportunity,Skill Development,Student,,
https://www.myscheme.gov.in/schemes/gsrfas,Ganga Swarupa Punah Lagna Arthik Sahay Scheme,Gujarat,"The scheme supports remarried women who are beneficiaries of the Ganga Swarupa Pension Scheme, aiming to reintegrate them into society with financial support.",Remarriage Assistance,Widow,Women,,,
https://www.myscheme.gov.in/schemes/psgg,Poshan Sudha,Gujarat,This scheme is a government initiative to provide nutrition and healthcare support to pregnant and lactating mothers in tribal districts of Gujarat.,Child,Nutritional Support,Pregnant Women,,,
https://www.myscheme.gov.in/schemes/essg,Educational Study Scheme,Gujarat,"The ""Educational Study Scheme"" provides financial assistance in the form of loans for self-supporting graduate-level courses in professional fields such as Medical, Dental, Engineering, Technology, Pharmacy, Architecture, Nursing, Homeopathy, Veterinary, and similar disciplines.",Education,Study Loan,Tuition Fee,,,
https://www.myscheme.gov.in/schemes/kpyg,Kisan Parivahan Yojana,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing medium-sized goods vehicles to facilitate the transportation of agricultural produce.",Agriculture,Farmer,Goods Vehicles,Heavy Farm Equipment,,
https://www.myscheme.gov.in/schemes/spfasae,Scheme to Provide Financial Assistance to Farmers for Purchasing Sanedo Agricultural Equipment,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing Sanedo (Mini Tractor) equipment, which enhances efficiency and reduces labor dependency in farming operations.",Agriculture,Farmer,Sanedo Equipment,,,
https://www.myscheme.gov.in/schemes/sapsf,Scheme for Assistance on Purchase of Smartphone by the Farmers,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to provide financial assistance to farmers for purchasing smartphones, enabling them to access agricultural technology, weather updates, pest control techniques, and government assistance.",Agriculture,Farmer,Smartphone,,,
https://www.myscheme.gov.in/schemes/eotmaf,Establishment of 1 to 20 Milch Animal Farm,Gujarat,"The ""Establishment of 1 to 20 Milch Animal Farm"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, provides financial assistance in the form of an interest subsidy to livestock farmers to take up animal husbandry as a sustainable business.",Animal Farm,Animal Husbandry,Rural Employment,,,
https://www.myscheme.gov.in/schemes/ics,Intensive Castration Scheme,Gujarat,"The ""Intensive Castration Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to control the stray animal population by castrating male calves and helps in reducing accidents caused by stray male animals in rural and urban areas.",Animal Husbandry,Cow,Low Genetic Animal,,,
https://www.myscheme.gov.in/schemes/acfapsc,Assistance of Concentrate Feed After Parturition (Scheduled Caste Category),Gujarat,"The scheme ""Assistance of Concentrate Feed After Parturition (Scheduled Caste Category)"" provides 150 kg of BIS Type II concentrate feed to Scheduled Caste Category livestock owners after parturition to support cattle health, increase milk production, and enhance calf development.",Animal Husbandry,Cattle Development,Concentrate Feeds,Milk Production,,
https://www.myscheme.gov.in/schemes/acfpagc,Assistance of Concentrate Feed for Pregnant Animals (General Category),Gujarat,"This scheme provides free BIS type II concentrate feed to pregnant cattle owned by General Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production.",Animal Husbandry,Milk Production,Pregnant Cattle,,,
https://www.myscheme.gov.in/schemes/sfugp,Scheme for Upgradation of Gaushala/ Panjrapole,Gujarat,"The ""Scheme for Upgradation of Gaushala/ Panjrapole""  aims to promote indigenous cow breeds and make cow rearing economically viable.",Agriculture,Animal Husbandry,Cattle Development,,,
https://www.myscheme.gov.in/schemes/doctoral-fellowship,ICSSR Doctoral Fellowship,Ministry of Education,The Indian Council of Social Science Research (ICSSR) offers Doctoral Fellowships to support full-time Ph.D. scholars engaged in high-quality research in the field of social and human sciences. These fellowships are awarded to Indian research scholars registered in Ph.D. programs at UGC-recognized u,Doctoral Fellowship,ICSSR Fellowships,PhD,Research Scholars,Social Science Research,
https://www.myscheme.gov.in/schemes/pduayebc,Pandit Dindayal Upadhyay Awas Yojana (Developing Caste Welfare) (EBC),Gujarat,"The scheme aims to support Economically Weaker Sections (EWS) by offering financial aid up to ₹1,20,000/- for house construction. This scheme also ensures that Economically Weaker Sections receive support in securing shelter.",Economically Weaker Section,EWS,Home,Housing,Shelter,Social Welfare
https://www.myscheme.gov.in/schemes/spis,Sero Positive Illness Scheme,Gujarat,"The scheme ""Sero Positive Illness Scheme"" by the Social Justice and Empowerment Department, Government of Gujarat aims to provide educational scholarships to orphaned and destitute children affected by Sero Positive illness.",Children,Education,Scholarship,Sero Disease,,
https://www.myscheme.gov.in/schemes/kdy,Kailash Darshan Yatra,Gujarat,"The scheme provides financial assistance to pilgrims from Gujarat undertaking the Kailash Darshan Yatra. To be eligible, the applicant must be a selected pilgrim from Gujarat and submit proof of yatra completion within 90 days. Applications for this scheme are accepted offline.",Culture,Heritage,Pilgrim,Tourism,Travel,
https://www.myscheme.gov.in/schemes/sdd,Sindhu Darshan Scheme,Gujarat,"The scheme aims to provide financial assistance of ₹15,000/- to pilgrims from Gujarat undertaking the Sindhu Darshan Yatra in Leh-Ladakh, fostering national unity. Intended beneficiaries include native Gujaratis who complete the yatra and apply within 60 days.",Culture,Heritage,Pilgrim,Pilgrimage,Tourism,Travel
https://www.myscheme.gov.in/schemes/saec,State Art Exhibition Competition,Gujarat,"The scheme ""State Art Exhibition Competition"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to promote fine arts and recognize artistic talents by providing awards and scholarships to artists, art students, and school children across Gujarat.",Artist Scholarship,Awards,Cash Prize,Fine Arts Competition,State Art Exhibition,
https://www.myscheme.gov.in/schemes/mgpss,Mill Gate Price Subsidy Scheme,Gujarat,"The scheme provides 15% subsidy on yarn purchases from NHDC depots to handloom weavers, cooperatives, and NGOs, along with freight reimbursement (1–8.5%). Intended beneficiaries include weavers below the poverty line.",Freight,Handloom,Jute,Silk,Subsidy,Yarn
https://www.myscheme.gov.in/schemes/hmp,Handicraft Mela Participation,Gujarat,"The scheme enables artisans and handicraft organizations to participate in government-sponsored melas across Gujarat and other states, fostering market access and preserving traditional crafts. Benefits include subsidized stall fees, promotional support, sales opportunities for handmade products.",Artisan,Embroidery,Exhibition,Handicraft,Pottery,SHG
https://www.myscheme.gov.in/schemes/rsps,Retired Sportsperson Pension Scheme,Gujarat,"The scheme ""Retired Sportsperson Pension Scheme"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to ensure financial security to retired state-level medal-winning sportspersons aged above 50 years through monthly pension assistance.",Athletes,Pension,Retired Sportsperson,Sport,,
https://www.myscheme.gov.in/schemes/tlsgmfdc,Term Loan Scheme (GMFDC),Gujarat,"The scheme aims to promote self-employment among individuals from the minority communities by providing financial assistance for agriculture and allied activities, small-scale businesses, craftsmanship, transport sector, traditional occupations, and service-based businesses/trades.",Business,Low Interest Loan,Minority,Self Employment,,
https://www.myscheme.gov.in/schemes/elgmfdcl,Educational Loan Scheme (GMFDC),Gujarat,"The scheme aims to provide financial assistance for technical and non-technical education that creates employment or job opportunities for beneficiaries. Through this scheme, loans are provided to eligible students from minority communities for studies within India and abroad.",Abroad Study,Higher Education,Loan,Minority,,
https://www.myscheme.gov.in/schemes/hrs-g,Handicraft Rebate Scheme,Gujarat,"The scheme provides 5–20% rebates on sales of handicraft goods to cooperatives, with higher incentives for women-led groups and during festivals. Applications are submitted online via e-Kutir.",Artisan,Festival,Handicraft,Rebate,Women,
https://www.myscheme.gov.in/schemes/pmsssebc,Pre-Matric Scholarship for the Students of Socially and Educationally Backward Class,Gujarat,The scheme aims to provide financial aid to promote education. Scholarships are provided to eligible students of Standards 1 to 10.,Backward Class,Financial Assistance,Primary School Students,Scholarship,Secondary School Students,
https://www.myscheme.gov.in/schemes/msygtkdc,Mahila Samriddhi Yojana (GTKVN),Gujarat,"The scheme aims to empower women entrepreneurs from Thakor & Koli communities by providing access to micro-loans for self-employment. Under this scheme, financial assistance in the form of low-interest loans is provided to eligible beneficiaries to set up small businesses based on their skills.",Business,Koli Caste,Loan,Self-Employment,Thakor Caste,Woman
https://www.myscheme.gov.in/schemes/msygntdnt,Mahila Samriddhi Yojana (for women only) GNTDNT,Gujarat,"The scheme aims to create self-employment for women of nomadic and denotified castes and support women entrepreneurs doing independent business. Through this scheme, microfinance is provided to women beneficiaries to pursue a business/occupation of their choice.",Business,Entrepreneurs,Micro Finance,Self Employment,,
https://www.myscheme.gov.in/schemes/pashupalangbcdc,Pashupalan (GBCDC),Gujarat,The scheme aims to provide an amount for animal husbandry activities. Low-interest loans are provided to Pashu Palaks.,Agriculture Activities,Buffalo,Cow,Loan,,
https://www.myscheme.gov.in/schemes/elgbcdc,Educational Loan Scheme (GBCDC),Gujarat,"The scheme provides financial support to students from socially and educationally backward classes for higher technical and professional education. It offers loans at concessional interest rates for approved graduate and postgraduate courses like engineering, medical, MBA, MCA, and more.",Backward Classes,Graduate,Loan,Post Graduate,Professional Education,Student
https://www.myscheme.gov.in/schemes/fsl,Foreign Study Loan,Gujarat,"The scheme aims to provide financial assistance to students from non-reserved categories for pursuing higher studies abroad in medical and post-graduation courses. It offers loans up to ₹15,00,000/- at 4% simple interest per annum to eligible students.",Education,Foreign,Loan,Student,University,
https://www.myscheme.gov.in/schemes/sctalentpool,Scholarship to SC students studying in selected schools under Talentpool Scheme,Gujarat,The scheme aims to provide the best education to meritorious Scheduled Caste students in high-quality residential schools to help them build their careers and improve their living standards.,Education,Meritorious,Residential Schools,Scheduled Caste,Students,
https://www.myscheme.gov.in/schemes/pmssntdt,Pre-Matric Scholarship for the Students of Notified Tribes and Denotified Tribes Castes,Gujarat,The scheme supports school education by providing annual scholarships to students from Notified Tribes and Denotified Tribes studying in standards 1st to 10th.,Denotified Tribes Caste,Notified Tribes,Scholarship,Student,,
https://www.myscheme.gov.in/schemes/mi-hma-nhdp,"""Marketing Incentive"" under the ""Handloom Marketing Assistance"" Component of the National Handloom Development Programme",Ministry Of Textiles,The scheme aims to develop and promote marketing channels for handloom products to bring greater visibility to the sector and ensure commensurate remuneration to weavers. It provides Marketing Incentive to eligible handloom agencies for creating conducive conditions for marketing handloom products.,Handloom,Incentive,Marketing,Textile,Weaver,
https://www.myscheme.gov.in/schemes/pmmsycngpguj,Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Construction of New Grow-out Pond - Gujarat,Gujarat,The scheme aims to enhance fish production and provide employment through inland fisheries. It offers financial support to construct new grow-out ponds for eligible beneficiaries.,Construction,Fish Farming,Freshwater Hatcheries,Ponds,,
https://www.myscheme.gov.in/schemes/sfidfh,Scheme for Integrated Development for Horticulture (HRT-2),Gujarat,"The scheme ""Scheme for Integrated Development for Horticulture (HRT-2)"" aims to promote holistic horticultural growth through financial assistance for production, processing, marketing, and infrastructure support to farmers across Gujarat.",Crop Protection,Farm Mechanization,Greenhouse Subsidy,Horticulture,Post Harvest Management,
https://www.myscheme.gov.in/schemes/vkvvs-swas,"Vishesh Katan, Vankari & Vanat Sahay (Spinning & Weaving Assistance Scheme)",Gujarat,The scheme aims to provide financial assistance in addition to the central government assistance to spinners and weavers. It provides production incentives to Khadi spinners and weavers with category-wise differential assistance rates.,Artisan,Khadi,Spinner,Weaver,Yarn,
https://www.myscheme.gov.in/schemes/vphdseitftphdc,Visvesvaraya PhD Scheme for Electronics and IT: Full Time PhD Candidates,Ministry of Electronics and Information Technology,The scheme aims at generating a total of 1000 Full-time PhD Candidates in emerging research areas of Electronic System Design and Manufacturing (ESDM) and IT/IT Enabled Services (ITES) sectors over a period of 5 years.,Electronics And IT,Fellowship,Full Time PhD,Visvesvaraya PhD,,
https://www.myscheme.gov.in/schemes/vphdseitptphdc,Visvesvaraya PhD Scheme for Electronics and IT: Part Time PhD Candidates,Ministry of Electronics and Information Technology,The scheme aims at generating a total of 150 Part-time PhDs in emerging research areas of Electronics System Design & Manufacturing (ESDM) and IT/IT Enabled Services (IT/ITES) sectors over a period of 5 years.,Electronics And IT,Part Time PhD,Research,Visvesvaraya PhD,,
https://www.myscheme.gov.in/schemes/yfrf,Visvesvaraya PhD Scheme for Electronics and IT: Young Faculty Research Fellowships,Ministry of Electronics and Information Technology,"This fellowship is meant for Young Faculty having regular position at their institution and proven track record in research. Support is provisioned for 50 candidates, for an initial period of support of 2 years, extendible till 5 years based on performance review.",Electronics And IT,Fellowship,Research,Visvesvaraya PhD,Young Faculty,
https://www.myscheme.gov.in/schemes/faishl,Financial Assistance as Interest Subsidy on Home Loan,Ministry Of Defence,"The scheme aims to provide 50% reimbursement of interest on home loans up to ₹1,00,000 for eligible war widows, war bereaved families, war disabled personnel, and attributable peacetime casualties.",Disabled,Ex-servicemen,Housing,Loan,,
https://www.myscheme.gov.in/schemes/nmoeppm,National Mission on Edible Oil–Oil Palm: Planting Materials,Gujarat,"The scheme component ""Planting Materials"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase oil palm production in the state and reduce dependency on imports through financial assistance to farmers for procuring planting materials.",Edible Oil,Imported Plant,Oil Palm,Planting Materials,Seedlings,Subsidy
https://www.myscheme.gov.in/schemes/nmoen,National Mission on Edible Oil- Oil Palm: Nursery,Gujarat,"The scheme component ""Nursery"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in the state and reduce dependence on imports through providing subsidy assistance for setting up nurseries for farmers.",Edible Oil,Farmer,Nursery,Subsidy,,
https://www.myscheme.gov.in/schemes/atmfcvc,Assistance in Trellise Mandap for Cultivation of Vegetable Crops,Gujarat,"The scheme ""Assistance in Trellise Mandap for Cultivation of Vegetable Crops"" aims to promote structured vegetable farming through the provision of financial assistance for constructing kachha/semi-pucca/pucca trellis mandaps to all farmers across the state.",Agriculture,Farming Infrastructure,Trellis Mandap,Vegetable Farming,,
https://www.myscheme.gov.in/schemes/ihdptaf,Integrated Horticulture Development Program for Tribal Area Farmers (TASP) HRT-3,Gujarat,"The scheme ""Integrated Horticulture Development Program for Tribal Area Farmers (TASP) HRT-3"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to enhance the horticulture sector through financial assistance and subsidies to tribal area farmers across the state.",Farm Mechanization,Horticulture,Post Harvest Management,Subsidy,Tribal Farmers,
https://www.myscheme.gov.in/schemes/pmmsyc2guj,PMMSY: Construction of  Plant/Storage of Minimum 20 Tonne Capacity - Gujarat,Gujarat,"The scheme aims to provide financial support for the construction of 20-tonne capacity ice plant/storage units, ensuring hygienic fish storage and improving the income of beneficiaries.",20 Tonne,Construction Of Plant,Fish,Fish Sellers,Fishermen,Storage
https://www.myscheme.gov.in/schemes/dsmphsfcclomuk,Distribution of Seeds of more productions varieties/ Hybrids varieties Seeds and fertilizer at subsidies etc. to Adivasi farmers in Tribal Area: Castor cake/Neem cake/ Liquid Fermented Organic Manure / Green manure seed (For mix in the soil) Gujarat,Gujarat,"The scheme aims to help tribal farmers improve their livelihood by increasing agricultural crop production. Through this scheme, subsidies are provided on high-yield and hybrid seeds, fertilizers, and other agricultural inputs to Scheduled Tribe farmers.",Adivasi Farmers,Castor Cake,Crop Production,Fertilizer,Livelihood,Subsidies
https://www.myscheme.gov.in/schemes/pmmsyfvguj,PMMSY: Three wheeler with Ice Box including e-rickshaws for fish vending - Gujarat,Gujarat,"The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for a three-wheeler with an Ice Box, including e-rickshaws for fish vending.",Construction Of Plant,Fish Sellers,Fishermen,Storage,,
https://www.myscheme.gov.in/schemes/pmmsysadsvtguj,PMMSY: Support for Acquisition of Deep Sea Fishing Vessels for Traditional Fishermen - Gujarat,Gujarat,"The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for the support for acquisition of deep-sea fishing vessels for traditional fishermen.",Construction Of Plant,Fish Sellers,Storage,Support For Acquisition Of Deep Sea Fishing Vessels,Traditional Fishermen,
https://www.myscheme.gov.in/schemes/fasuw-ecw,Funeral Assistance Scheme for Unorganized Workers (Except Construction Workers),Gujarat,"The scheme aims to provide financial assistance to heirs of deceased unorganized sector workers for funeral expenses. It offers ₹10,000/- to eligible heirs of e-Shram card holders.",Death,Financial,Funeral,Support,Unorganized,Worker
https://www.myscheme.gov.in/schemes/pmmsycp3guj,PMMSY: Construction of  Plant/Storage of Minimum 30 Tonne Capacity - Gujarat,Gujarat,"The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for constructing 30-tonne capacity plants or storage units.",Construction Of Plant,Fish Sellers,Fishermen,Storage,,
https://www.myscheme.gov.in/schemes/pmmsyiceboxguj,PMMSY: Motorcycle with Ice Box - Gujarat,Gujarat,"The scheme aims to provide financial assistance for the purchase of motorcycles with ice boxes. Through this scheme, eligible beneficiaries receive subsidies to enhance their livelihood opportunities.",Construction Of Plant,Fish Sellers,Fishermen,Storage,,
https://www.myscheme.gov.in/schemes/vsyg,Vidhya Sadhana Yojana Gujarat,Gujarat,"Under this scheme, free bicycles are gifted to girl students across Gujarat to reduce school dropouts among scheduled tribe girls after class 8.",Cycle,Free Bicycles,Girl,Scheduled Tribe,Student,
https://www.myscheme.gov.in/schemes/srjssyss,Sri Ram Janmabhoomi Shabari Smriti Yatra Sahay Scheme,Gujarat,"The scheme aims to provide financial assistance to scheduled tribes and tribal communities for pilgrimage to Sri Ram Janmabhoomi in Ayodhya in memory of Maa Shabari. The scheme offers ₹5,000/- financial assistance per pilgrim to enable darshan of Lord Sri Ram for eligible tribal beneficiaries.",Financial Assistance,Pilgrimage,Scheduled Tribe,Tourism,Travel,
https://www.myscheme.gov.in/schemes/heas,Higher Education Assistance Scheme,Gujarat,"The scheme aims to encourage children of workers and reduce financial burden of education through higher educational assistance. It provides ₹20,000/- for Bachelor of Medicine Bachelor of Surgery admission and ₹10,000/- for other graduate courses to merit students.",Education,Financial Assistance,Labour,Merit,Student,Welfare
https://www.myscheme.gov.in/schemes/6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,Gujarat,"The scheme aims to reduce financial stress for ST students pursuing foreign education by providing up to ₹1,50,000 subsidy on interest for 3 years.",Foreign Study,Higher Education,Loan,Scheduled Tribe,Student,
https://www.myscheme.gov.in/schemes/agia,Ashramshalas (Grant in Aid),Gujarat,"The scheme aims to provide schooling, boarding and lodging to Scheduled Tribe students at a single location, enabling better employment opportunities and competitive equality with other sections of society. The scheme offers residential education with complete support including free education.",Accommodation,Education,Grant,Scholarship,School,Student
https://www.myscheme.gov.in/schemes/vcf-sc,Venture Capital Fund for Scheduled Castes,Ministry Of Social Justice and Empowerment,"The scheme aims to promote entrepreneurship among Scheduled Caste individuals by providing concessional finance. Benefits include investment ranging from ₹10,00,000/- to ₹15,00,00,000/- as debt or equity for eligible Private Limited or Public Limited companies.",Capital,Entrepreneur,Finance,Investment,Startup,Technology
https://www.myscheme.gov.in/schemes/ifpiftrainingkitguj,To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Training Kit - Gujarat,Gujarat,The scheme aims to provide training and equipment to boost inland fisheries among Scheduled Tribe beneficiaries.,Fish,Fish Activities,Fish Production,Fishermen,Scheduled Tribes,Training Kit
https://www.myscheme.gov.in/schemes/pgspcscstc,Post-Graduate Scholarships for Professional Courses for SC/ST Candidates,Ministry of Education,"The scheme has been initiated to provide opportunity to deprived sections of the society, viz. SC/ST for undertaking postgraduate level studies in Professional subjects like Engineering & Technology, Management, Pharmacy etc. in recognised Indian Universities/Institutions/Colleges.",Post Graduate,Professional Course,SC,Scholarship,ST,Student
https://www.myscheme.gov.in/schemes/csss-cus,Pradhan Mantri Uchchatar Shiksha Protsahan (PM-USP) Central Sector Scheme of Scholarship for College and University students,Ministry of Education,A scholarship scheme by the Dept. of Higher Education to provide financial assistance to meritorious students from poor families to meet a part of their day-to-day expenses while pursuing higher studies. The scholarships are awarded on the basis of results of Higher Secondary / Class 12th Board Exam,College,Financial Assistance,Scholarship,Student,University,
https://www.myscheme.gov.in/schemes/fesmwpnie,Free Education For Sports Medal Winners / Participants Of National/ International Events,Ministry of Education,"The scheme of ""Free Education for Sports Medal Winners / Participants of National/ International Events"" is introduced by UGC, to provide financial assistance to the medal winners\ elite sports persons studying in universities/colleges leading to all the full-time regular courses.",Education,Sports,,,,
https://www.myscheme.gov.in/schemes/niti-i,NITI Internship Scheme,NITI Aayog (National Institution for Transforming India),"This Scheme seeks to engage students pursuing Under Graduate/Graduate/Post Graduate Degrees or are Research Scholars enrolled in recognized University/Institution within India or abroad, as ""interns"". They shall be given exposure to various Verticals/ Divisions/Units within NITI Aayog.",Internship,Student,,,,
https://www.myscheme.gov.in/schemes/snas,Sukhatme National Award in Statistics,Ministry Of Statistics and Programme Implementation,"The scheme aims to recognise excellence in statistical research and official statistics. Through this scheme, national recognition is provided to eligible Indian statisticians for lifetime or young achiever contributions.",Award,Data Intergration,Data Management System,Research,Statistics,Young Statistician
https://www.myscheme.gov.in/schemes/siip,Study in India Programme,Ministry of Education,"The Study in India Programme aims to promote India as a global education hub by offering centralized admissions, quality education, and visa support to international students.”",Courses,Financial Assistance,Higher Education,International Student,,
https://www.myscheme.gov.in/schemes/dacssiselosobcebc,Dr Ambedkar Central Sector Scheme of Interest Subsidy on Educational Loans for Overseas Studies for Other Backward Classes (OBCs) and Economically Backward Classes (EBCs),Ministry Of Social Justice and Empowerment,"The scheme provides interest subsidy to the students belonging to the OBCs and EBCs on the interest payable for the period of the moratorium for the Education Loans for overseas studies to pursue approved courses of studies abroad at Masters, M.Phil. and PhD level.",Economically Backward Class,Education,Interest,Loan,Other Backward Class,Subsidy
https://www.myscheme.gov.in/schemes/kvyoj,Khadi Gramodyog Vikas Yojana: Khadi Vikas Yojana,"Ministry Of Micro, Small and Medium Enterprises","The scheme aims to increase productivity and wages of Khadi artisans, improve production infrastructure, boost employment and sales, revive traditional rural skills, modernize sales outlets, and promote marketing and exports.",Gramodyog,Interest Subsidy,Khadi,Khadi Artisans,Khadi Production,Village Industries
https://www.myscheme.gov.in/schemes/ptpapmh,A Program to Provide 90 Percent Assistance in Planting Material of Horticultural Fruit Crops,Gujarat,This scheme offers 90% financial assistance to farmers for purchasing planting materials of fruit crops to promote horticulture.,Agriculture,Fruit Crops,Horticultural,,,
https://www.myscheme.gov.in/schemes/sapgjau,Scheme for the Award of Scholarship for Post Graduate Students of Various Faculties of Junagadh Agricultural University,Gujarat,"The ""Scheme for the Award of Scholarship for Post Graduate Students of Various Faculties of Junagadh Agricultural University"" provides monthly scholarships to students pursuing Post Graduate in various faculties at Junagadh Agricultural University.",Agricultural Scholarship,Fellowship,Higher Education,Ph D,Post Graduate,Student
